Name,GameCode
梦幻模拟战,1033275
天地劫,1034790
铃兰之剑：为这和平的世界,1035825
泰拉瑞亚,4034329
饥荒 联机版,1001656
人类跌落梦境,1001612
艾希,1003249
霓虹深渊：无限,1027640
最强蜗牛,4073767
摩尔庄园,4073233
奥比岛：梦想国度,1037196
小森生活,4055006
江南百景图,4073602
叫我大掌柜,4074169
天涯明月刀手游,1037203
幻兽帕鲁,1035921
艾尔登法环,1031467
赛博朋克2077,1019716
双人成行,1034703
猛兽派对,1034537
潜水员戴夫,1035731
空洞骑士,1002273
巫师 3：狂猎,1010981
荒野大镖客：救赎2,1019562
只狼：影逝二度,1020003
星露谷物语,1001379
生化危机4：重制版,1035572
生化危机8,1034524
博德之门3,1031456
霍格沃茨之遗,1034616
漫威蜘蛛侠2,1035817
战神：诸神黄昏,1034615
最后生还者：第一部,1035115
《地平线 西之绝境™》完整版,1041204
对马岛之魂,1019894
死亡搁浅,1019714
心灵杀手2,1034931
辐射 4,1001233
上古卷轴5：天际特别版,1001307
星空,1034925
极限竞速：地平线5,1034831
微软模拟飞行,1034585
文明6,1001831
全面战争：三国,1016896
帝国时代4,1034256
集合啦！动物森友会,1034397
塞尔达传说：王国之泪,1034763
塞尔达传说：旷野之息,1024156
喷射战士3,1034681
异度神剑3,1034987
火焰纹章无双：风花雪月,1035102
任天堂明星大乱斗 特别版,1019612
黑色沙漠,12000
星际战甲,11980
Apex英雄,1026574
逃离塔科夫,1000496
彩虹六号：围攻,1000509
战地风云2042,1034747
使命召唤：战区,1036224
糖豆人: 终极淘汰赛,1033533
我们之中（国际）,1025223
恐鬼症,1034629
致命公司,1035945
胡闹厨房2,1019797
黑帝斯-Hades,4076779
哈迪斯2,1035869
空洞骑士：丝之歌,1026663
茶杯头,1001975
以撒的结合,1017213
星际公民,12019
装甲核心6：Fire of Rubicon,1035178
街头霸王6,1035621
铁拳8,1035598
真人快打1,1035700
罪恶装备-奋战-,1034691
碧蓝幻想：Relink,1035885
龙之信条2,1035803
女神异闻录5,1034382
如龙8,1035887
暗喻幻想：ReFantazio,1036183
明末：渊虚之羽,1034851
怪物猎人：荒野,1036537
最终幻想7：重生,1035838
刺客信条：影,1036425
天国：拯救2,1036285
死亡搁浅2,1035171
宝可梦传说Z-A,1037115
羊蹄山之魂,1037128
无主之地4,1036715
第一狂战士：卡赞,1025760
失落之魂,1034735
消逝的光芒：困兽,1036935
侠客风云传,1007395
三国志13,1015799
模拟人生4,1026965
合金装备5：幻痛,1020090
黑暗之魂3,1000712
鬼泣5,1019675
看门狗2,1015830
方舟: 生存飞升,1037239
古墓丽影：崛起,1000728
极品飞车18：宿敌,1026961
ONE PIECE 海贼无双4,1045350
真三国无双8,1011743
怪物猎人世界,1008131
潜行者2：切尔诺贝利之心,1034920
森林之子,1042728
火焰纹章ENGAGE,1035189
使命召唤20：现代战争3,1035778
刺客信条：幻景,1035125
孤岛危机3,1027857
无主之地3,1019717
七日世界,1035762
正当防卫4,1024813
狙击精英5,1035085
刺客信条：奥德赛,1019624
火炬之光2,1001484
尼尔：机械纪元,1001931
帝国时代3：决定版,1034600
英雄连3,1034774
无人深空,1015959
奇异人生,1016729
兄弟：双子传说,1002179
城市：天际线2,1035242
海岛大亨6,1005824
足球经理2024,1035835
NBA 2K24,1035806
EA Sports FC 24,1035767
实况足球2021标准版,1034639
拳皇15,1034686
太鼓达人8,1020649
恋爱单选题,1046386
美女，请别影响我学习,1036034
完蛋！我被美女包围了！,1035822
隐形守护者,1025805
鬼谷八荒,1034665
太吾绘卷,1020074
戴森球计划,1034664
了不起的修仙模拟器,1025261
暖雪,1034819
元梦之星,4076453
爆裂小队,4077091
赛马娘 Pretty Derby 热血喧闹大感谢祭！,1036718
极乐迪斯科,1031440
土豆兄弟(Brotato),1035182
深海迷航,1023924
雨中冒险2,1025012
缺氧,1001404
环世界,1002803
僵尸毁灭工程,1003119
腐蚀,1001367
七日杀,1001626
英灵神殿,1029244
雾锁王国,1035895
致命躯壳,1034407
匹诺曹的谎言,1034750
堕落之主,1035697
仁王2,1034301
卧龙：苍天陨落,1035137
狂野之心,1035172
噬血代码 II,1037245
绯红结系,1044673
破晓传说,1031622
莱莎的炼金工房３ ～终结之炼金术士与秘密钥匙～ DX,1037226
零：濡鸦之巫女,1034906
超凡双生,1027202
暴雨,1045231
逃出生天,1019984
极品飞车22：不羁,1035153
飙酷车神：轰鸣盛典,1035732
极限国度,1034611
极限竞速：地平线4,1019732
小动物派对,4074800
星之卡比：探索发现,1035057
异度神剑2,1024158
猎天使魔女3,1019584
马力欧派对：超级巨星,1034892
健身环大冒险,1034362
龙族幻想,4054662
天涯明月刀,12046
一人之下手游,4051022
妖精的尾巴：激斗,4075271
玄中记,4073678
诺亚之心,4073927
延禧攻略之凤凰于飞,4075006
璀璨星途,4073106
我们的星球,4074389
手工星球,1019118
传奇天下,4073895
征服与霸业,4073926
真三国无双霸,4073604
魂斗罗:归来,4046031
红警OL手游,4054198
魔力宝贝：旅人,4074820
合金弹头：觉醒,4075008
劲乐幻想,4075836
王牌竞速,1036722
倩女幽魂,4041201
天谕,1034801
忘川风华录,4073787
绝对演绎,4074874
时空中的绘旅人,4073409
阴阳师：百闻牌,1034816
阴阳师：妖怪屋,4073094
镇魔曲,4044362
一梦江湖,1034799
三国志·战棋版,4076024
长安幻想,4074753
春秋封神,4074638
斗罗大陆：魂师对决,4074947
云上城之歌,1034796
荣耀大天使,4074198
大天使之剑H5,4054427
热血神剑,4044446
龙之谷2手游,4046282
庆余年,4073517
辐射：避难所Online,4054626
神无月,4051329
完美世界手游,1034817
神雕侠侣2手游,4054024
梦间集,4044866
新笑傲江湖,1034795
世界弹射物语,4075142
坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险,4074426
公主连结！Re:Dive,4053273
高能手办团,4073772
刀剑乱舞-ONLINE-,4046231
偶像梦幻祭2,4073830
闪耀暖暖,4054060
奇迹暖暖,4039333
来自星尘,1036022
火影忍者OL-忍者新世代,4054246
荒野行动,4052531
神武4,4073352
梦想世界3,1034670
贪婪洞窟,4041706
失落城堡,1002530
恶果之地,1005862
风来之国,1019159
最终幻想16,1034614
GTA6,1035859
苍翼：混沌效应,1036023
逸剑风云决,1035705
大侠立志传,1035212
植物大战僵尸2,4033630
胡闹搬家,1025444
木卫四协议,1035170
死亡空间：重制版,1035199
死亡岛2,1027314
幽灵行者 2,1035823
原子之心,1018979
不朽者传奇,1035787
魔咒之地,1034532
八方旅人2,1035210
三角战略,1035039
勇者斗恶龙11：追寻逝去的时光,1019401
女神异闻录５ 战略版,1041684
如龙7外传 无名之龙,1035837
天龙八部·归来,1034432
冒险岛怀旧服,1047761
黑神话：钟馗,1037109
剑隐侠踪录,1047307
